"_id"	"store_address"	"loc_point"
"59904bc4c87a26148221bfd0"	"{ ""detail"" : ""莲花山吉祥街一巷一号"" }"	"{ ""lat"" : 22.980634116089, ""lng"" : 113.510050745964 }"
"59953e30c87a2614e12b86fe"	"{ ""detail"" : ""大学城康衢大街30号"" }"	"{ ""lat"" : 23.067310095643, ""lng"" : 113.399771605848 }"
"59956ba0c87a2614b162fb89"	"{ ""detail"" : ""大学城小谷围街道康衢大街30号"" }"	"{ ""lat"" : 23.067310095643, ""lng"" : 113.399771605848 }"
"599fdf0ac87a26148d6dee12"	"{ ""detail"" : ""石基"" }"	"{ ""lat"" : 22.9609932512206, ""lng"" : 113.442775215343 }"
"59a15225c87a26147a7779d8"	"{ ""detail"" : ""技术部测试"" }"	"{ ""lng"" : 113.416799529649, ""lat"" : 22.9345907957979 }"
"59acc759c87a2614613515e2"	"{ ""detail"" : ""新造镇谷围新村瑞丰园33号"" }"	"{ ""lng"" : 113.44129112481, ""lat"" : 23.0410137219838 }"
"59ae4833c87a2611526d7bb5"	"{ ""detail"" : ""剑桥郡剑桥汇瀚澜一街内街75号"" }"	"{ ""lat"" : 23.026337009293, ""lng"" : 113.392660502654 }"
"59b95404c87a261480615d73"	"{ ""detail"" : ""碧桂大道肇源商业城2号楼首层4，5号铺"" }"	"{ ""lat"" : 23.0389801520432, ""lng"" : 113.300117113962 }"
"59c88a1b7f686f08d75291c3"	"{ ""detail"" : ""北桥路72-12"" }"	"{ ""lat"" : 22.9460711318316, ""lng"" : 113.361416177603 }"
"59c892d47f686f5e71736efa"	"{ ""detail"" : ""市桥黄编村松柏路西五巷7号之26"" }"	"{ ""lat"" : 22.9455352810378, ""lng"" : 113.360947078872 }"
"59c8bfa7c87a264854426ddd"	"{ ""detail"" : ""花样年华二期花岸西街130号"" }"	"{ ""lng"" : 113.361475506316, ""lat"" : 22.9321986967132 }"
"59c8c9777f686f5f4c14d1a3"	"{ ""detail"" : ""福德路149号226铺"" }"	"{ ""lat"" : 22.929483903816, ""lng"" : 113.358389828561 }"
"59cb0a397f686f437e7854eb"	"{ ""detail"" : ""南亭大道30号101"" }"	"{ ""lng"" : 113.394082000157, ""lat"" : 23.0418504777362 }"
"59cb22f27f686f5e7922a705"	"{ ""detail"" : ""大学城松山路34号"" }"	"{ ""lat"" : 23.064408982303, ""lng"" : 113.400850668392 }"
"59cb6a4fc87a26484b7acb8a"	"{ ""detail"" : ""广州市番禺区南村镇兴南大道398号"" }"	"{ ""lat"" : 23.0168135478092, ""lng"" : 113.367631378254 }"
"59cb8859c87a2649841f522e"	"{ ""detail"" : ""7号创意小镇"" }"	"{ ""lat"" : 22.9345907957979, ""lng"" : 113.416799529649 }"
"59cc377bc87a2651ed0d6f59"	"{ ""detail"" : ""雅居乐剑桥郡瀚澜一街13号"" }"	"{ ""lat"" : 23.0256696000139, ""lng"" : 113.393221449529 }"
"59d83d18c87a26484c63415a"	"{ ""detail"" : ""亚运源筑A2-106"" }"	"{ ""lat"" : 22.9443503441967, ""lng"" : 113.49093770355 }"
"59db1096c87a264d414d039b"	"{ ""detail"" : ""沙湾镇福德路海伦购物公园226号"" }"	"{ ""lng"" : 113.353911715409, ""lat"" : 22.9131424852346 }"
"59e00e67c87a26483b5e81f7"	"{ ""detail"" : ""7号创意小镇"" }"	"{ ""lat"" : 22.9345907957979, ""lng"" : 113.416799529649 }"
"59e46527c87a264d40508d08"	"{ ""detail"" : ""富华东路415"" }"	"{ ""lat"" : 22.9520100307718, ""lng"" : 113.387541461995 }"
"59eadda1c87a2648485883d7"	"{ ""detail"" : ""大石街景华南路四季花园156号铺"" }"	"{ ""lat"" : 23.0227765921428, ""lng"" : 113.324870542112 }"
